channel_id,channel_name,channel_view_count,channel_sub_count,channel_video_count
UC-YvsfPu6tlCAd8AQUyoWRg,Business Bulls,98794447,169000,622
UCfLy8fO3tvZiCMy5PdUeEJg,upliner,210257,200,3
UCNMWCQx35DQGMjY46e6e_nQ,Healthy Emmie,192408468,718000,1041
UCmQRypK6kAcujJAlYZpFW8Q,PETA (People for the Ethical Treatment of Animals),838892953,1320000,5550
UCqhC_99uecH_0N-B8p7lJnw,Animal Save Movement,39582607,72500,779
UCqmLlI8zAPxELkh5mP814OQ,seecraig,459884,911,767
UCftwRNsjfRo08xYE31tkiyw,WIRED,4534539807,12300000,4036
UCY7dD6waquGnKTZSumPMTlQ,OxfordUnion,354599433,2310000,3060
UC_cOrj8dlCqYnGgp0xdkxow,FullyRawKristina,153558037,1450000,893
UCh75i7fQOiHp9yUqKUlCh3g,Skye Conway,1009070,3640,676
UC3FXo1aEc4QI_LO2_3-OLgQ,Mind Body Surf,278785,534,53
UCMe6gdusucqJi1We05VWjpg,Whack,672828,863,108
UCGzmRygOMdwfE-xL7Rskv1w,Choosing My Health,3411816,82500,318
UCWqSqQITM46l5Ees5jazPLw,Korin Sutton ,17166720,56800,3797
UCIOuTa3aY7Ok92_h7kOuJgw,Animal Equality,30128852,61200,461
UC6BM89KudnMRttNbMamyROw,Chloe Wheatland,1279395,12300,146
UCMSYZVlQmyG8_2MkIKzg0kw,The Iced Coffee Hour,1298720087,1350000,1025
UCfELZlgjPOOECS5-arBP1og,LMAOF,1391637,1120,571
UCFTEl73CW2csy8i7qxg8cRA,HealthyVeganEating,14685984,251000,563
UCAhCEObNnVfffdGXWdYVByQ,Matt Ross,49213,245,30
UC70mdo9GR7YkERSumPHkgrw,Vaibhav Shukla,591966,702,1
UCBrvNYJbiMrv4-OzddFSN6w,Generation Vegan,910012,10500,526
UCBCiDM0WrCAvTHmdVz_GDzQ,Tess Begg,15993728,328000,279
UCm2RzY5achIz2n-6FDfQT0w,FriendsNotFood UK,2885,29,33
UCne0dUtlp3-OqhaLxeAySJw,VLNOW,11178898,6950,824
UCvo3jQe4L1ZaSwdQHHQ1Zqw,Alec Gunter,3708232,30800,751
UCQT4gMmiJDWQds0xxaopb1Q,HISTORIC FACTs,38019,52,84
UCiIZVUKo3nID1tz-lsWhdeA,voicetheunheard,20616,54,19
UCVXyKLsvMu_rnC2wys9XHEg,Kindness Trust,1392555,7920,35
UCz7iJPVTBGX6DNO1RNI2Fcg,GradeAUnderA,579143372,3750000,131
UCiE57zg8KxrZpV_eWMjluVA,Carleigh Bodrug,421462343,1280000,472
UC73RE9yDcxByZ3DPDo_UdZQ,emilmann23,161791,137,56
UCOQI951UkNKMlTTlHHSaTFA,Big Craig,42638928,188000,98
UCSsXiGbQu-ptH9dU9rsO_Sw,Animal Rights Approach,3011,61,5
UCh2D2ss44sKdb6l7iGU7eLg,The Whole Food Plant Based Cooking Show,23744687,426000,541
UCjacRo8crmvJuQt6nyFXyBg,LIVEKINDLY,29189026,123000,579
UC-xFsMs4JrFA52kgBX_tuPA,Lolcows of the Internet,173875,237,31
UCtWWry0cgjWi9C0Ye9sh6og,news.com.au,1165911444,1230000,16666
UCF9nk5V93QT-reN9sZc9yDA,Animal Justice Project,505417,2320,320
UCpcpinzRKFe6LyE3mu4b5eQ,The Green Note 🌱🎵,82173,173,374
UCiyre7JEtBT6le4S7800n3A,Animal & Vegan Advocacy (AVA) International,73772,891,201
UC3HA9y4-FxOhdsT1vqumNrA,BOOM & BIGZ TV,1846588,6410,412
UCp5442uPMyldHZIScSSTZEA,In Defense of Animals,2178059,7770,760
UCcEQ1EuzGzwYB2ImAkJ-6PQ,Jeremy Loeb,33969,367,208
UCj209lI3ZOmOCkK8e3qFFNQ,Ryan Humiston,272864768,2140000,475
UChi5M3k_K4yuRpWAp00xBQA,Professor Bart Kay - Main Channel,6455868,56800,736
UC9dQi2Z64uSb5lK6ku6T4qw,The Victim's Perspective,104244,1460,93
UCC552Sd-3nyi_tk2BudLUzA,AsapSCIENCE,2005490893,10700000,516
UCavUliWoaaIyUyuDv7ai9zA,blackhole,415934,142,15
UCjClvZZu2j4mUjfF0aEWzdw,THEPEOPLELISTEN,14932891,58500,147
UCluiFIVPK1uGkB8TFUVgX5w,BiteSizeVegan.org,28746250,181000,376
UCOox4iUw4UoKIV4eeyijPwg,DoggyTV,2549436,5520,454
UCCkiOVS6uGicMDnBzdteosw,The Press Democrat,21402495,24200,5072
UC9wt5GBR4GLdg5q3DQK1dqQ,Goodmorning1221,128970,221,13
UCQG_Ng3wm_Li-T8ngO3kjBA,Rotman Institute of Philosophy,747959,9580,405
UCFnKmL7hp3LB2lNSQBvO67A,EmptyCages,98688,735,95
UCYl-MAbxMmKpJsyoV7iz5HQ,NuVegan TV,58513,858,195
UCCnyz-TbdLdFG_aqOvH6B5w,TransformXRED - Delray Misfits Museum,8909698,10800,1029
UCPV95grWj4ShG7xDWJfvXnA,Chris Cooney,1779685,14900,465
UCuGC6M8Gu8wtcc5E94amYwQ,sethpajak,250474,221,198
UCOKxE97aLT5mWbnHQvLEWuA,Animal Activism Collective,322748,1640,635
UCCR3TUkdpx_bk5ZXYhKxFTQ,Seb Goldhorn,100988,6,6
UCx7KULT6DbZl9YloVJsAlLQ,Joey Carbstrong Shorts,62921,307,84
UC79DOUlmLb5p6PMFqbNraeg,HonestDoubter,375635,483,41
UCsU5QtzfvVX2DFcmIYM3aRg,Edmonton Vegan Outreach,53670,885,129
UCbtL081gMwgoxn3Oz76PyBw,So Vegan,8503268,61300,271
UChiVMDZtKPhOmLVZ6dCR1DA,Sky Jack Morgan,1657392,3260,5590
UCGdbC_YzWvNBu1feUNysijQ,Vegan Pixie Warrior,48559,1510,136
UCoRKQ5h9mAfiXhvSrHggtVw,VincePotato,70938,266,588
UCpyhJZhJQWKDdJCR07jPY-Q,Simnett Nutrition,67488399,767000,596
UCQLjAX4p76NTc__j-GdTe4g,Clade,57128,80,34
UCJDK6jYJX6V8Cg2uifqZTCw,karmafree1,227907,119,3
UC1yBKRuGpC1tSM73A0ZjYjQ,The Young Turks,7064226892,6140000,67960
UCxzDdw_mlMnpQqCN9FF7KKQ,The Bitter Pill,25222,389,199
UCoKibD6HiQ1ybFLaoGHytsg,Vegan Cossack,8893,84,23
UClPYLHZ9KbKGC89i9z9_NCA,Natalie Fulton,998744,9230,305
UCboOtSXcbsqqt6pv5zXNgNQ,Naijha Speaks,72231,1020,489
UCscSBGIkkmQTaKg3z3A2FgQ,Plebity,260933,3510,115
UCMdx_N-u9crtoN9vNdIvNxg,Gabrielle Reyes,20449938,168000,823
UCHaPfBvnhYoKYUR1Ts1Osnw,TheAnimalHolocaust,16576245,71500,112
UCq2qVJtq69yZh83jiUywvdQ,Conscious Muscle,125914,6440,72
UCVRrGAcUc7cblUzOhI1KfFg,Earthling Ed,60458765,456000,379
UC5_i5V3xXxdqF5VKVmJWVZQ,Muscle & Strength,309502883,1190000,1261
UCJnpF9oROFPvd7wWbPUDdGA,KRQE,543625147,359000,115374
UCuMtfD4RkuvxnW3FDzl1vbQ,Solutionary Species,1065,6,19
UCQ2toqAmlQpwR1HDF_KKfGg,Switch4Good,5847971,55800,1324
UCqmn-vEmYbZ4wqMHt2ndZdQ,BOSH!,23523668,240000,1591
UC554eY5jNUfDq3yDOJYirOQ,Destiny,671226568,843000,3358
UCE9ZKGuHAz4S9y89u-qSAPQ,Happy Healthy Vegan,34074021,204000,1937
UCMw6K-dJTWUJxX4NCPCgS9w,Thee Burger Dude,223216992,515000,424
UC4YrhQzDAYwPPNBfnzhLcHg,Big pharma hater15,1404,3830,2
UCcKFPLxaWvKMwbjd5GjhzKg,James Aspey,12483417,86400,280
UCfaLzWu44t7TrOMxf5n2dYw,Viva Longevity!,11635199,141000,108
UCZI7OM1E9WhVavPYHBN_vvQ,Philosophy Sam,29789,318,15
UChsHxWXeUBaSCjcsxnHli1g,Fly & Shy,54856,1890,714
UCFjJiCrDJvxt9X_9gsu623Q,Jem Lettuce,648867,1910,207
UCmSezuV0pSqVQfzM2eZP8GA,Conversations with Dr. Donna Lyons ,42521,528,28
UCPKxGawnfAi61ibAe2_a8sA,Animal Liberation Press Office,3640,87,21
UCJiVXBlgbWgqHLTUl1hxfmQ,AnimalLibOrchVEVO,501936,794,1
UCQr7MaL58U72HVuUIJFDUKQ,Brandon Bartlett,1336,2,5
UCgvSTjz78hnQjXC_KL-GE0g,The Humane League,1428438,5550,272
UCMbDsxEWdIzAoGdEC7mihAQ,Stephan Gelenscher,176307,453,24
UC1NIJo63rWA0kvHWiYY70Yg,UNCHAINEDTV,947612,7430,1778
UC569sMAIQbd6bOi9bUD4dWw,Vegan News,197030,1500,171
UCm5J1Fu_dHgBcMTpXu-NXUw,Pangburn,86611963,217000,2061
UCGa9KFF6xxu3w3grmYzx6Yw,Real Men Eat Plants,208163,526,346
UCnFJI1KB4q2PomhhBHurqOA,Earth Healing Network,17317,1170,302
